[2025-04-30 22:06:36,247] INFO in app: Logging setup complete!
'FLASK_ENV' is deprecated and will not be used in Flask 2.3. Use 'FLASK_DEBUG' instead.
 * Debugger is active!
 * Debugger PIN: 143-597-879
 * Detected change in '/home/pi/webapp/app.py', reloading
30 22:07:00,937 - Logging setup complete!
2025-05-01 10:25:25,087 - Stopping GStreamer pipeline...
2025-05-01 10:25:25,135 - GStreamer pipeline stopped successfully.
2025-05-01 10:25:32,075 - Logging setup complete!
2025-05-01 10:25:34,463 - Logging setup complete!
2025-05-01 10:25:36,466 - Logging setup complete!
2025-05-01 10:25:38,469 - Logging setup complete!
2025-05-01 10:25:40,467 - Logging setup complete!
2025-05-01 10:25:42,463 - Logging setup complete!
2025-05-01 10:25:44,511 - Logging setup complete!
2025-05-01 10:25:46,467 - Logging setup complete!
2025-05-01 10:26:01,106 - Logging setup complete!
2025-05-01 10:26:03,211 - Logging setup complete!
2025-05-01 10:26:05,218 - Logging setup complete!
2025-05-01 10:26:07,213 - Logging setup complete!
2025-05-01 10:26:09,213 - Logging setup complete!
2025-05-01 10:26:11,213 - Logging setup complete!
2025-05-01 10:26:13,212 - Logging setup complete!
2025-05-01 10:26:15,207 - Logging setup complete!
2025-05-01 10:26:17,219 - Logging setup complete!
2025-05-01 10:26:19,228 - Logging setup complete!
2025-05-01 10:26:21,213 - Logging setup complete!
2025-05-01 10:26:23,227 - Logging setup complete!
2025-05-01 10:26:25,211 - Logging setup complete!
2025-05-01 10:26:27,210 - Logging setup complete!
2025-05-01 10:26:29,211 - Logging setup complete!
2025-05-01 10:27:26,810 - Logging setup complete!
2025-05-01 20:48:52,275 - Logging setup complete!
2025-05-01 20:48:53,901 - Logging setup complete!
2025-05-01 20:49:41,309 - Accessing alsamixer
2025-05-01 20:49:41,311 - check for audio devices
2025-05-01 20:49:48,477 - Accessing alsamixer
2025-05-01 20:49:48,479 - check for audio devices
2025-05-01 20:49:48,493 - Accessing alsamixer
2025-05-01 20:49:48,494 - check for audio devices
2025-05-01 20:49:54,013 - Accessing Audiomonitor
2025-05-01 20:49:54,018 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 20:49:54,084 - GStreamer is running for audio monitoring.
2025-05-01 20:49:54,115 - GStreamer pipeline state: <enum GST_STATE_PLAYING of type Gst.State>
2025-05-01 20:49:54,207 - Audio Monitor - RMS: 0.942330946697155 dB, Peak: 1.0 dB
2025-05-01 20:49:54,312 - Audio Monitor - RMS: 0.8734720305978774 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:54,415 - Audio Monitor - RMS: 0.9241027681470002 dB, Peak: 1.0 dB
2025-05-01 20:49:54,507 - Audio Monitor - RMS: 0.9608154021670111 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:54,605 - Audio Monitor - RMS: 0.9415573450999294 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:54,705 - Audio Monitor - RMS: 0.8072177783709358 dB, Peak: 0.9970364039220214 dB
2025-05-01 20:49:54,805 - Audio Monitor - RMS: 0.9644456515097002 dB, Peak: 1.0 dB
2025-05-01 20:49:54,904 - Audio Monitor - RMS: 0.9527511661374667 dB, Peak: 1.0 dB
2025-05-01 20:49:55,005 - Audio Monitor - RMS: 0.9185268678587857 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,105 - Audio Monitor - RMS: 0.9051621755179665 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,204 - Audio Monitor - RMS: 0.9564817363963443 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,305 - Audio Monitor - RMS: 0.9452449686891266 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,404 - Audio Monitor - RMS: 0.949211664830191 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,505 - Audio Monitor - RMS: 0.9544280688488282 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,605 - Audio Monitor - RMS: 0.8898674293621461 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:55,705 - Audio Monitor - RMS: 0.9454437300509573 dB, Peak: 1.0 dB
2025-05-01 20:49:55,804 - Audio Monitor - RMS: 0.9599962559004389 dB, Peak: 1.0 dB
2025-05-01 20:49:55,905 - Audio Monitor - RMS: 0.9438023572627788 dB, Peak: 1.0 dB
2025-05-01 20:49:56,005 - Audio Monitor - RMS: 0.9528454393282908 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,104 - Audio Monitor - RMS: 0.954205953270717 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,204 - Audio Monitor - RMS: 0.9422150485397999 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,304 - Audio Monitor - RMS: 0.9205103286054824 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,404 - Audio Monitor - RMS: 0.9717153574395072 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,504 - Audio Monitor - RMS: 0.9487381923448093 dB, Peak: 1.0 dB
2025-05-01 20:49:56,604 - Audio Monitor - RMS: 0.9475680159079317 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,704 - Audio Monitor - RMS: 0.9669817371363162 dB, Peak: 1.0 dB
2025-05-01 20:49:56,810 - Audio Monitor - RMS: 0.9219948567544916 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:56,904 - Audio Monitor - RMS: 0.8838253910475872 dB, Peak: 0.9999955820606604 dB
